variant,bin_low,bin_high,n,mean_confidence,observed_accuracy
V1,0.0,0.1,0,,
V1,0.1,0.2,0,,
V1,0.2,0.3,0,,
V1,0.3,0.4,0,,
V1,0.4,0.5,0,,
V1,0.5,0.6,0,,
V1,0.6,0.7,0,,
V1,0.7,0.8,0,,
V1,0.8,0.9,0,,
V1,0.9,1.0,150,0.986,0.767
V2,0.0,0.1,0,,
V2,0.1,0.2,0,,
V2,0.2,0.3,0,,
V2,0.3,0.4,0,,
V2,0.4,0.5,0,,
V2,0.5,0.6,0,,
V2,0.6,0.7,0,,
V2,0.7,0.8,0,,
V2,0.8,0.9,3,0.8,0.333
V2,0.9,1.0,147,0.941,0.796
V3,0.0,0.1,0,,
V3,0.1,0.2,0,,
V3,0.2,0.3,0,,
V3,0.3,0.4,0,,
V3,0.4,0.5,0,,
V3,0.5,0.6,0,,
V3,0.6,0.7,0,,
V3,0.7,0.8,0,,
V3,0.8,0.9,4,0.8,0.5
V3,0.9,1.0,146,0.989,0.897
V4,0.0,0.1,0,,
V4,0.1,0.2,0,,
V4,0.2,0.3,0,,
V4,0.3,0.4,0,,
V4,0.4,0.5,0,,
V4,0.5,0.6,0,,
V4,0.6,0.7,0,,
V4,0.7,0.8,0,,
V4,0.8,0.9,9,0.8,0.444
V4,0.9,1.0,81,0.936,0.901
