variant,tier,error_type,count
V1,complex,schema_error,4
V1,complex,wrong_aggregation,2
V1,complex,wrong_filter,3
V1,complex,wrong_join,7
V1,complex,wrong_projection,4
V1,moderate,wrong_filter,5
V1,moderate,wrong_join,3
V1,moderate,wrong_projection,1
V1,simple,wrong_join,6
V2,complex,schema_error,5
V2,complex,wrong_aggregation,1
V2,complex,wrong_filter,4
V2,complex,wrong_join,6
V2,moderate,schema_error,1
V2,moderate,wrong_aggregation,1
V2,moderate,wrong_filter,1
V2,moderate,wrong_join,5
V2,moderate,wrong_projection,1
V2,simple,wrong_aggregation,1
V2,simple,wrong_join,6
V3,complex,wrong_aggregation,1
V3,complex,wrong_filter,3
V3,complex,wrong_join,2
V3,moderate,wrong_aggregation,1
V3,moderate,wrong_filter,3
V3,moderate,wrong_join,3
V3,moderate,wrong_projection,2
V3,simple,wrong_filter,1
V3,simple,wrong_join,1
V4,complex,wrong_aggregation,1
V4,complex,wrong_filter,4
V4,complex,wrong_join,2
V4,complex,wrong_projection,1
V4,simple,schema_error,1
V4,simple,wrong_filter,1
V4,simple,wrong_join,1
