threshold,accuracy,total_cost_usd,n_escalated
0.0,0.8833,0.02054,60
0.02,0.8833,0.02054,60
0.04,0.8833,0.019953,59
0.06,0.8833,0.019953,59
0.08,0.8833,0.019953,59
0.1,0.8833,0.019953,59
0.12,0.8833,0.019204,56
0.14,0.8833,0.019009,55
0.16,0.8833,0.017893,51
0.18,0.8833,0.017893,51
0.2,0.8833,0.017581,50
0.22,0.8833,0.016741,49
0.24,0.8833,0.016741,49
0.26,0.85,0.015998,46
0.28,0.85,0.015998,46
0.3,0.85,0.014928,44
0.32,0.8333,0.013899,41
0.34,0.8333,0.013899,41
0.36,0.8167,0.013412,39
0.38,0.8167,0.01246,37
0.4,0.8167,0.012298,36
0.42,0.8167,0.011819,35
0.44,0.8167,0.011417,34
0.46,0.8,0.011113,33
0.48,0.8,0.010178,31
0.5,0.8,0.00907,28
0.52,0.8,0.008897,27
0.54,0.7833,0.007846,25
0.56,0.7833,0.007663,24
0.58,0.7833,0.007663,24
0.6,0.7833,0.006834,21
0.62,0.7833,0.005447,17
0.64,0.7667,0.005297,16
0.66,0.75,0.004817,13
0.68,0.7667,0.004537,12
0.7,0.7667,0.003897,9
0.72,0.75,0.003199,7
0.74,0.7167,0.002555,4
0.76,0.7167,0.002134,2
0.78,0.7167,0.002134,2
0.8,0.7167,0.001978,1
0.82,0.7,0.00179,0
0.84,0.7,0.00179,0
0.86,0.7,0.00179,0
0.88,0.7,0.00179,0
0.9,0.7,0.00179,0
0.92,0.7,0.00179,0
0.94,0.7,0.00179,0
0.96,0.7,0.00179,0
0.98,0.7,0.00179,0
1.0,0.7,0.00179,0
